feature,feature_type,count,missing_count,missing_rate,unique_count,entropy,normalized_entropy,pearson_corr,spearman_corr,abs_pearson_corr,abs_spearman_corr,importance_score,note
time_sin,numeric,493903,0,0,38,3.289578402,0.990261772,-0.127217133,-0.146271043,0.127217133,0.146271043,0.136744088,
time_num,numeric,493903,0,0,48,3.305270096,0.994985443,0.120118713,0.132270093,0.120118713,0.132270093,0.126194403,
time_cat,datetime,493903,0,0,48,5.41587124,0.969723832,0.120118713,0.132270093,0.120118713,0.132270093,0.126194403,datetime converted to timestamp before correlation
is_evening_peak,boolean,493903,0,0,2,0,0,0.090006051,0.104141883,0.090006051,0.104141883,0.097073967,
temp_change_1h,numeric,493903,0,0,55,3.029151618,0.911865498,-0.076458459,-0.084826024,0.076458459,0.084826024,0.080642241,
time_cos,numeric,493903,0,0,39,3.314027131,0.997621573,0.074656829,0.06611135,0.074656829,0.06611135,0.070384089,
day_cos,numeric,493903,0,0,292,3.321582392,0.999895933,-0.06225934,-0.074813054,0.06225934,0.074813054,0.068536197,
weekend,boolean,493903,0,0,2,0,0,-0.055021689,-0.06870416,0.055021689,0.06870416,0.061862924,
is_morning_peak,boolean,493903,0,0,2,0,0,-0.059052416,-0.058343544,0.059052416,0.058343544,0.05869798,
is_peak,boolean,493903,0,0,2,0,0,0.041647486,0.054949734,0.041647486,0.054949734,0.04829861,
longitude,numeric,493903,0,0,896,3.317514614,0.99867141,0.027419447,-0.067807647,0.027419447,0.067807647,0.047613547,
is_precip,boolean,493903,0,0,2,0,0,0.04326767,0.050458902,0.04326767,0.050458902,0.046863286,
precip_level,numeric,493903,0,0,3,0,0,0.041773485,0.04951333,0.041773485,0.04951333,0.045643408,
weather_severity,numeric,493903,0,0,12,2.072821304,0.623981388,0.043852139,0.041507707,0.043852139,0.041507707,0.042679923,
precip,numeric,493903,3834,0.007762658,17,0.378290977,0.113876931,0.034318264,0.049920296,0.034318264,0.049920296,0.04211928,
precip_rolling_3h,numeric,493903,0,0,55,0.458450475,0.138007344,0.04110124,0.040384868,0.04110124,0.040384868,0.040743054,
weather_severity_rolling_3h,numeric,493903,0,0,30,3.238440355,0.974867686,0.040971763,0.03991856,0.040971763,0.03991856,0.040445162,
rhum,numeric,493903,0,0,73,3.315271805,0.997996257,0.038336438,0.042552158,0.038336438,0.042552158,0.040444298,
is_rain,boolean,493903,0,0,2,0,0,0.037007671,0.041626605,0.037007671,0.041626605,0.039317138,
vis,numeric,493903,763,0.001544838,16,1.41612068,0.426294802,-0.033132211,-0.044630683,0.033132211,0.044630683,0.038881447,
vis_level,numeric,493903,763,0.001544838,4,0.809224366,0.404612183,0.029863974,0.04291045,0.029863974,0.04291045,0.036387212,
weather_severity_lag_1h,numeric,493903,0,0,12,2.078545894,0.625704661,0.034359555,0.035171492,0.034359555,0.035171492,0.034765524,
precip_lag_1h,numeric,493903,0,0,17,0.371990192,0.111980206,0.028027309,0.040811593,0.028027309,0.040811593,0.034419451,
latitude,numeric,493903,0,0,542,3.320531294,0.999579521,0.012635145,0.050412969,0.012635145,0.050412969,0.031524057,
bad_weather,boolean,493903,0,0,2,0,0,0.022880737,0.029289002,0.022880737,0.029289002,0.02608487,
is_holiday,boolean,493903,0,0,2,0,0,-0.019604693,-0.032133145,0.019604693,0.032133145,0.025868919,
vis_change_1h,numeric,493903,1334,0.002700935,65,1.226689728,0.369270403,-0.021547977,-0.0224277,0.021547977,0.0224277,0.021987838,
temp_level,numeric,493903,0,0,3,0.573127252,0.361603036,-0.019398195,-0.016992524,0.019398195,0.016992524,0.018195359,
temp,numeric,493903,0,0,36,3.284882434,0.988848145,-0.019361785,-0.014420061,0.019361785,0.014420061,0.016890923,
wind_level,numeric,493903,37746,0.076423913,4,1.398592908,0.699296454,0.010446,0.014180372,0.010446,0.014180372,0.012313186,
geohash,categorical,493903,0,0,18289,11.63468229,0.821734459,0.006052721,0.017907696,0.006052721,0.017907696,0.011980208,categorical feature encoded before correlation; interpret carefully
day_cat,categorical,493903,0,0,7,2.754436053,0.981149919,0.010353256,0.01194441,0.010353256,0.01194441,0.011148833,categorical feature encoded before correlation; interpret carefully
day,numeric,493903,0,0,31,3.304655901,0.994800551,-0.009224596,-0.011280174,0.009224596,0.011280174,0.010252385,
is_fog,boolean,493903,0,0,2,0,0,0.00754163,0.010331805,0.00754163,0.010331805,0.008936718,
wspd,numeric,493903,37746,0.076423913,13,2.327807593,0.70073991,0.00542864,0.011138477,0.00542864,0.011138477,0.008283559,
day_sin,numeric,493903,0,0,277,3.321521774,0.999877685,-0.007476229,-0.00388156,0.007476229,0.00388156,0.005678895,
day_num,numeric,493903,0,0,336,3.321682426,0.999926046,-0.001718399,-0.006747861,0.001718399,0.006747861,0.00423313,
year,boolean,493903,0,0,1,0,0,,,,,,
month,boolean,493903,0,0,1,0,0,,,,,,
is_snow,boolean,493903,0,0,1,0,0,,,,,,
