iter	RMSE
0	0.2430397429
1	0.2413765803
2	0.2398397829
3	0.2384324098
4	0.2371674169
5	0.2359877554
6	0.2349039724
7	0.2339132644
8	0.2330031764
9	0.2321421784
10	0.2313660241
11	0.2306625412
12	0.2300148228
13	0.2293692948
14	0.2287772824
15	0.2282565176
16	0.2277438657
17	0.2272992548
18	0.2268923063
19	0.2265384864
20	0.2261706958
21	0.2258361125
22	0.225555652
23	0.2252680479
24	0.2249773887
25	0.2247213209
26	0.2244921289
27	0.22429295
28	0.2240862531
29	0.2239018078
30	0.2237143047
31	0.2235388781
32	0.2233812249
33	0.2232329847
34	0.2230986004
35	0.2229766645
36	0.2228661488
37	0.2227166022
38	0.2226097814
39	0.2224934626
40	0.2223933943
41	0.2222867216
42	0.2221934213
43	0.2220752333
44	0.2219741254
45	0.2218922869
46	0.2218178681
47	0.2216626453
48	0.2215755282
49	0.2215116133
50	0.2214462303
51	0.2213612482
52	0.2212944925
53	0.2212181424
54	0.2211490214
55	0.2210984185
56	0.221049543
57	0.221000765
58	0.2209451056
59	0.2208888163
60	0.2208306815
61	0.2207853703
62	0.2207058931
63	0.2206528255
64	0.2206035627
65	0.2204868367
66	0.2204382571
67	0.2203431822
68	0.220303107
69	0.2202495355
70	0.2202089654
71	0.2201766916
72	0.2201201154
73	0.2200735423
74	0.2200388198
75	0.2199850326
76	0.2199362346
77	0.2198935815
78	0.2198419939
79	0.2197951598
80	0.2197725962
81	0.2197204955
82	0.2196883949
83	0.2196291978
84	0.2195666543
85	0.219538353
86	0.2195021877
87	0.2194785007
88	0.2194566772
89	0.219422557
90	0.2193595422
91	0.219297077
92	0.2192639145
93	0.2192502887
94	0.2191950297
95	0.2191605263
96	0.2191051206
97	0.2190543207
98	0.2190169575
99	0.2189721189
100	0.2189345771
101	0.2188961001
102	0.2188673277
103	0.21883752
104	0.2188157657
105	0.2187913973
106	0.2187496935
107	0.2187357077
108	0.2187160007
109	0.2186920097
110	0.2186679927
111	0.2186498279
112	0.2186348644
113	0.2186166803
114	0.2185895569
115	0.2185289043
116	0.2185161087
117	0.2184838598
118	0.2184632693
119	0.2184129751
120	0.2183845183
121	0.2183543649
122	0.2183272011
123	0.2182876399
124	0.218279954
125	0.2182622354
126	0.2182515248
127	0.21821898
128	0.2181877289
129	0.21816024
130	0.2181472056
131	0.2181197526
132	0.2181110215
133	0.2180899474
134	0.2180592717
135	0.21803789
136	0.2180268922
137	0.2180165637
138	0.2180087048
139	0.2179833494
140	0.2179665886
141	0.2179435783
142	0.2179302884
143	0.2179156011
144	0.2178913857
145	0.2178707742
146	0.2178485412
147	0.2178360646
148	0.2178163765
149	0.2177464564
150	0.2177310995
151	0.21768812
152	0.2176620484
153	0.2176468499
154	0.2176179478
155	0.2176006125
156	0.2175922097
157	0.2175828789
158	0.2175592404
159	0.2175436543
160	0.2175194459
161	0.2175065193
162	0.2174836355
163	0.217468395
164	0.2174584117
165	0.2174500352
166	0.217443807
167	0.2174384436
168	0.2174178794
169	0.2173964705
170	0.2173913975
171	0.2173736506
