iter	Passed	Remaining
0	273	218684
1	340	136039
2	402	106890
3	464	92404
4	530	84315
5	590	78167
6	653	74080
7	714	70774
8	779	68484
9	839	66282
10	892	64007
11	952	62531
12	1004	60789
13	1055	59237
14	1100	57611
15	1149	56346
16	1201	55336
17	1250	54325
18	1301	53493
19	1354	52836
20	1400	51950
21	1453	51390
22	1505	50859
23	1562	50520
24	1613	50012
25	1669	49688
26	1731	49565
27	1789	49341
28	1851	49232
29	1901	48804
30	1952	48425
31	2002	48060
32	2059	47860
33	2110	47554
34	2162	47272
35	2220	47128
36	2294	47312
37	2378	47696
38	2443	47688
39	2517	47834
40	2588	47912
41	2660	48008
42	2723	47944
43	2804	48182
44	2857	47950
45	2901	47552
46	2945	47195
47	2997	46953
48	3047	46711
49	3095	46437
50	3145	46193
51	3199	46019
52	3245	45737
53	3304	45656
54	3360	45515
55	3417	45400
56	3474	45296
57	3520	45038
58	3582	44989
59	3647	44980
60	3702	44851
61	3753	44681
62	3820	44697
63	3869	44499
64	3917	44302
65	3971	44164
66	4018	43964
67	4071	43832
68	4115	43600
69	4173	43523
70	4234	43476
71	4296	43437
72	4357	43399
73	4415	43315
74	4469	43209
75	4528	43139
76	4586	43061
77	4637	42923
78	4706	42957
79	4769	42925
80	4818	42771
81	4869	42634
82	4914	42455
83	4964	42319
84	5014	42178
85	5062	42029
86	5117	41938
87	5170	41834
88	5221	41713
89	5272	41597
90	5341	41615
91	5408	41622
92	5464	41541
93	5506	41358
94	5567	41318
95	5623	41238
96	5676	41139
97	5733	41069
98	5790	41000
99	5838	40870
100	5887	40747
101	5937	40628
102	5981	40475
103	6032	40370
104	6083	40265
105	6123	40090
106	6182	40040
107	6236	39959
108	6290	39875
109	6352	39846
110	6406	39765
111	6454	39647
112	6502	39534
113	6552	39428
114	6602	39330
115	6666	39307
116	6720	39229
117	6785	39215
118	6840	39145
119	6891	39053
120	6942	38955
121	6986	38824
122	7032	38709
123	7085	38627
124	7129	38497
125	7179	38404
126	7230	38316
127	7302	38340
128	7396	38471
129	7470	38499
130	7549	38553
131	7595	38438
132	7652	38375
133	7721	38378
134	7790	38373
135	7838	38267
136	7881	38140
137	7921	37997
138	7966	37883
139	8017	37796
140	8073	37735
141	8120	37627
142	8172	37549
143	8242	37550
144	8307	37527
145	8366	37476
146	8444	37513
147	8509	37488
148	8558	37393
149	8628	37388
150	8691	37358
151	8759	37341
152	8801	37220
153	8854	37141
154	8896	37021
155	8954	36966
156	9004	36878
157	9058	36807
158	9123	36781
159	9184	36739
160	9233	36646
161	9286	36572
162	9353	36553
163	9406	36477
164	9471	36451
165	9526	36386
166	9577	36304
167	9636	36251
168	9699	36213
169	9776	36230
170	9819	36119
171	9866	36023
172	9911	35920
173	9951	35804
174	9998	35709
175	10111	35850
176	10205	35920
177	10273	35898
178	10325	35821
179	10377	35746
180	10433	35680
181	10485	35603
182	10535	35522
183	10583	35430
184	10657	35428
185	10710	35356
186	10778	35333
187	10828	35250
188	10878	35168
189	10929	35087
190	10976	34997
191	11019	34896
192	11072	34824
193	11130	34767
194	11201	34752
195	11251	34671
196	11299	34587
197	11347	34501
198	11431	34523
199	11482	34448
200	11539	34388
201	11603	34351
202	11669	34317
203	11725	34257
204	11782	34198
205	11832	34119
206	11875	34019
207	11928	33951
208	11970	33849
209	12017	33764
210	12079	33719
211	12140	33672
212	12205	33635
213	12264	33583
214	12319	33520
215	12390	33501
216	12469	33500
217	12531	33455
218	12607	33446
219	12653	33360
220	12700	33273
221	12754	33207
222	12810	33146
223	12864	33079
224	12907	32986
225	12959	32914
226	13004	32825
227	13048	32735
228	13104	32675
229	13171	32641
230	13227	32581
231	13273	32496
232	13339	32460
233	13403	32421
234	13459	32360
235	13509	32285
236	13569	32235
237	13647	32227
238	13710	32182
239	13766	32122
240	13820	32056
241	13874	31992
242	13926	31922
243	13979	31854
244	14023	31766
245	14069	31684
246	14127	31628
247	14184	31571
248	14259	31553
249	14326	31517
250	14377	31447
251	14437	31395
252	14505	31361
253	14553	31284
254	14624	31255
255	14686	31208
256	14741	31145
257	14799	31090
258	14853	31026
259	14901	30948
260	14955	30885
261	15014	30830
262	15059	30749
263	15099	30656
264	15155	30596
265	15198	30511
266	15252	30448
267	15308	30388
268	15365	30331
269	15420	30270
270	15476	30210
271	15525	30136
272	15575	30066
273	15635	30014
274	15688	29950
275	15735	29874
276	15782	29797
277	15834	29731
278	15876	29647
279	15920	29565
280	15977	29509
281	16043	29469
282	16153	29509
283	16246	29518
284	16333	29514
285	16407	29486
286	16476	29451
287	16536	29397
288	16582	29320
289	16631	29248
290	16697	29205
291	16742	29126
292	16794	29061
293	16837	28979
294	16877	28892
295	16921	28811
296	16977	28752
297	17044	28713
298	17098	28649
299	17156	28594
300	17220	28548
301	17279	28493
302	17337	28438
303	17386	28367
304	17438	28302
305	17483	28224
306	17544	28173
307	17597	28110
308	17641	28031
309	17690	27963
310	17737	27889
311	17794	27832
312	17853	27778
313	17897	27700
314	17935	27614
315	17993	27559
316	18035	27480
317	18086	27413
318	18146	27361
319	18217	27326
320	18270	27263
321	18331	27213
322	18401	27174
323	18451	27107
324	18512	27056
325	18558	26983
326	18634	26954
327	18690	26895
328	18731	26816
329	18773	26738
330	18825	26673
331	18881	26615
332	18920	26534
333	18977	26478
334	19034	26421
335	19095	26370
336	19161	26325
337	19216	26266
338	19277	26215
339	19359	26192
340	19418	26138
341	19478	26085
342	19572	26077
343	19659	26059
344	19735	26028
345	19791	25968
346	19838	25898
347	19896	25842
348	19933	25759
349	19977	25685
350	20037	25632
351	20105	25588
352	20160	25528
353	20210	25463
354	20280	25422
355	20356	25387
356	20422	25341
357	20487	25294
358	20561	25257
359	20621	25203
360	20671	25137
361	20725	25076
362	20785	25022
363	20825	24944
364	20873	24876
365	20918	24804
366	20970	24741
367	21037	24695
368	21092	24636
369	21150	24580
370	21204	24519
371	21257	24457
372	21311	24396
373	21389	24363
374	21454	24314
375	21530	24279
376	21595	24230
377	21656	24177
378	21697	24102
379	21739	24028
380	21790	23963
381	21850	23909
382	21902	23847
383	21955	23785
384	22003	23718
385	22055	23655
386	22112	23597
387	22154	23525
388	22202	23457
389	22257	23399
390	22300	23327
391	22342	23253
392	22391	23189
393	22441	23124
394	22495	23064
395	22550	23005
396	22610	22952
397	22675	22903
398	22724	22838
399	22769	22769
400	22807	22694
401	22865	22638
402	22918	22576
403	22963	22509
404	23027	22459
405	23086	22404
406	23134	22338
407	23196	22287
408	23252	22229
409	23323	22186
410	23389	22137
411	23440	22075
412	23502	22022
413	23561	21967
414	23622	21914
415	23683	21861
416	23732	21797
417	23776	21728
418	23828	21667
419	23872	21598
420	23933	21545
421	23998	21496
422	24071	21453
423	24149	21415
424	24216	21367
425	24273	21310
426	24334	21257
427	24378	21189
428	24432	21129
429	24501	21082
430	24553	21021
431	24599	20954
432	24646	20889
433	24691	20822
434	24745	20763
435	24795	20701
436	24843	20636
437	24893	20574
438	24946	20513
439	25012	20464
440	25080	20417
441	25143	20365
442	25204	20311
443	25269	20261
444	25335	20211
445	25400	20161
446	25451	20099
447	25512	20045
448	25564	19984
449	25626	19931
450	25691	19881
451	25733	19812
452	25794	19758
453	25858	19706
454	25911	19647
455	25982	19600
456	26041	19545
457	26100	19490
458	26166	19439
459	26220	19380
460	26285	19328
461	26351	19278
462	26413	19225
463	26483	19177
464	26547	19125
465	26622	19081
466	26699	19038
467	26748	18975
468	26798	18912
469	26846	18849
470	26908	18795
471	26959	18734
472	27004	18669
473	27053	18606
474	27095	18538
475	27145	18476
476	27191	18412
477	27251	18357
478	27311	18303
479	27381	18254
480	27451	18206
481	27510	18149
482	27579	18100
483	27642	18047
484	27696	17988
485	27737	17920
486	27786	17858
487	27840	17799
488	27881	17732
489	27928	17668
490	27969	17601
491	28030	17547
492	28099	17497
493	28168	17448
494	28220	17388
495	28296	17343
496	28352	17285
497	28408	17227
498	28462	17168
499	28512	17107
500	28579	17056
501	28638	17000
502	28680	16934
503	28730	16873
504	28774	16808
505	28832	16752
506	28884	16692
507	28945	16637
508	28998	16578
509	29057	16522
510	29117	16467
511	29174	16410
512	29227	16351
513	29271	16287
514	29323	16227
515	29371	16165
516	29421	16104
517	29475	16046
518	29522	15984
519	29569	15922
520	29617	15860
521	29663	15797
522	29717	15739
523	29756	15673
524	29797	15608
525	29839	15543
526	29887	15482
527	29931	15419
528	29987	15362
529	30054	15310
530	30118	15257
531	30165	15196
532	30219	15138
533	30276	15081
534	30337	15027
535	30407	14977
536	30459	14917
537	30505	14855
538	30563	14799
539	30630	14747
540	30675	14685
541	30721	14624
542	30761	14559
543	30804	14496
544	30858	14438
545	30911	14380
546	30973	14325
547	31034	14271
548	31093	14215
549	31142	14155
550	31190	14095
551	31247	14038
552	31311	13985
553	31383	13935
554	31439	13878
555	31494	13821
556	31541	13760
557	31594	13702
558	31642	13641
559	31686	13579
560	31728	13517
561	31774	13455
562	31828	13398
563	31869	13335
564	31916	13274
565	31955	13211
566	31998	13149
567	32042	13087
568	32106	13034
569	32157	12975
570	32203	12915
571	32257	12857
572	32329	12807
573	32388	12752
574	32452	12698
575	32527	12649
576	32589	12595
577	32649	12539
578	32694	12479
579	32737	12417
580	32778	12355
581	32825	12295
582	32868	12234
583	32909	12172
584	32963	12114
585	33015	12056
586	33068	11999
587	33137	11947
588	33194	11891
589	33251	11835
590	33294	11774
591	33355	11719
592	33408	11662
593	33465	11605
594	33530	11552
595	33593	11498
596	33633	11436
597	33675	11375
598	33727	11317
599	33783	11261
600	33834	11203
601	33881	11143
602	33932	11085
603	33985	11028
604	34040	10971
605	34092	10913
606	34137	10854
607	34181	10794
608	34225	10734
609	34280	10677
610	34339	10622
611	34392	10564
612	34456	10511
613	34512	10454
614	34555	10394
615	34612	10338
616	34671	10283
617	34724	10226
618	34770	10167
619	34819	10108
620	34862	10048
621	34911	9990
622	34957	9931
623	35003	9872
624	35061	9817
625	35116	9760
626	35174	9705
627	35222	9647
628	35278	9590
629	35323	9531
630	35375	9474
631	35427	9417
632	35482	9361
633	35544	9306
634	35608	9252
635	35654	9193
636	35703	9136
637	35755	9079
638	35801	9020
639	35845	8961
640	35889	8902
641	35937	8844
642	35981	8785
643	36028	8727
644	36073	8668
645	36124	8611
646	36171	8553
647	36216	8495
648	36262	8437
649	36309	8379
650	36356	8321
651	36400	8262
652	36448	8205
653	36499	8148
654	36573	8096
655	36619	8038
656	36661	7979
657	36706	7921
658	36755	7864
659	36796	7805
660	36845	7748
661	36891	7690
662	36940	7633
663	36981	7574
664	37037	7518
665	37085	7461
666	37126	7403
667	37180	7346
668	37228	7289
669	37284	7234
670	37336	7178
671	37396	7123
672	37444	7065
673	37501	7010
674	37567	6956
675	37617	6900
676	37666	6843
677	37715	6786
678	37763	6729
679	37813	6672
680	37852	6614
681	37906	6558
682	37970	6504
683	38028	6449
684	38091	6394
685	38137	6337
686	38190	6281
687	38242	6225
688	38287	6168
689	38337	6111
690	38400	6057
691	38458	6002
692	38538	5950
693	38593	5894
694	38651	5839
695	38695	5782
696	38749	5726
697	38792	5668
698	38841	5612
699	38890	5555
700	38936	5498
701	38980	5441
702	39035	5386
703	39102	5332
704	39164	5277
705	39221	5222
706	39280	5166
707	39336	5111
708	39393	5056
709	39449	5000
710	39529	4948
711	39588	4892
712	39650	4838
713	39703	4782
714	39752	4725
715	39809	4670
716	39897	4618
717	39975	4565
718	40054	4512
719	40105	4456
720	40163	4400
721	40213	4344
722	40283	4290
723	40339	4234
724	40387	4177
725	40457	4123
726	40518	4068
727	40578	4013
728	40625	3956
729	40677	3900
730	40722	3843
731	40769	3787
732	40815	3730
733	40860	3674
734	40921	3618
735	40977	3563
736	41021	3506
737	41065	3449
738	41119	3394
739	41167	3337
740	41211	3281
741	41265	3225
742	41313	3169
743	41382	3114
744	41447	3059
745	41517	3005
746	41579	2950
747	41625	2893
748	41687	2838
749	41730	2782
750	41779	2725
751	41827	2669
752	41887	2614
753	41948	2559
754	41990	2502
755	42037	2446
756	42086	2390
757	42140	2334
758	42212	2280
759	42276	2225
760	42325	2169
761	42379	2113
762	42447	2058
763	42503	2002
764	42581	1948
765	42643	1892
766	42688	1836
767	42728	1780
768	42775	1724
769	42818	1668
770	42874	1612
771	42926	1556
772	42976	1501
773	43025	1445
774	43096	1390
775	43162	1334
776	43210	1279
777	43263	1223
778	43313	1167
779	43366	1111
780	43430	1056
781	43492	1001
782	43550	945
783	43600	889
784	43657	834
785	43704	778
786	43766	722
787	43809	667
788	43856	611
789	43910	555
790	43959	500
791	44008	444
792	44068	388
793	44128	333
794	44177	277
795	44218	222
796	44273	166
797	44326	111
798	44379	55
799	44434	0
